title,author,rating,ratingcounts,reviewcounts,description,ISBN,genre,image,pagecount
Battersea Parker (Paperback),Jimmy Tudeski,3.75,1958,96,"Malcolm's a man in his mid-thirties, very tall and quite handsome too. He's also a successful manager of a restaurant, has money in the bank and is a bachelor looking for true love. Would he still be an eligible bachelor though, if he was still a virgin? Would he still be desired, if he wore spectacles and was a little bit of a geek? Truth is, Malcolm is a wonderful man, b",9781987717167,Humor and Comedy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529915146l/40636552._SY475_.jpg,436
Uck It List (Paperback),Jimmy Tudeski,3.66,1918,62,"If you only had a few weeks to live, what would you place on your bucket list? Morbid I know, yet isn't it better to question this right now, rather than you depressingly admit you still have a million things to place on that list towards the end yourself? Lucy Webster wasn't lucky enough to live a long life, then at just twenty-five she too had to put together a list. Tog",9781705416679,Humor and Comedy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1572936798l/48709132._SX318_.jpg,192
Battersea Parker 2 (Paperback),Jimmy Tudeski,3.68,1504,55,"Malcolm and Dexter are back! This time armed with girlfriend's Sally and dippy Candy always two steps behind them, not forgetting the young blonde who has recently confessed she's with child and that one of them will become a father very soon. It's a journey for the boys that takes them past the morning sickness stage, right up to the contraction part, with the usual Dexte",9781987717259,Humor and Comedy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1535797309l/41585187._SY475_.jpg,348
Hollywood Girlfriend (Paperback),Jimmy Tudeski,3.76,770,45,"Lee Hill grew up in a tiny village in England and inside that village, he had just one very special friend. Lee and Holly are best friends and have almost been like brother and sister since they were five years old. Now on a mission in adulthood, Lee must find a way of disowning the sibling relationship he has with the one he truly loves, then finally step out of the frien",9781723831,Humor and Comedy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1568433816l/53038780._SX318_SY475_.jpg,220
Thinking Racehorse (Paperback),Jimmy Tudeski,3.77,509,32,"There are so many great stories of racehorses getting injured, then returning to the famous Grand National racecourse to win the prestigious race, yet this is no ordinary story. This isn't a tale told by the owner, the jockey or even the trainer, it's the story of the horse - Delivered straight from the horses mouth! Follow the comical journey of Chakalak, bred purely to b",9781724702388,Humor and Comedy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1535881581l/41593176._SY475_.jpg,190
Complicated (Paperback),Jimmy Tudeski,3.77,328,20,"Charlie loves Courtney, Courtney loves herself and Isla; Charlie's ex, has fallen in love with him all over again. Charlie loves Isla in a different way, Courtney loves the idea of the former lover's getting together, whereas Rose loves Charlie in a completely different way too. Rose is Isla's best friend and loves everyone, Courtney only loves the idea of Charlie and Isla",9781730904660,Humor and Comedy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1579508816l/50551226._SY475_.jpg,197
"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,4.22,1394660,29185,"Seconds before the Earth is demolished to make way for a galactic freeway, Arthur Dent is plucked off the planet by his friend Ford Prefect, a researcher for the revised edition of The Hitchhiker's Guide to the Galaxy who, for the last fifteen years, has been posing as an out-of-work actor.Together this dynamic pair begin a journey through space aided by quotes from The Hi",null,Humor and Comedy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1559986152l/386162.jpg,193
Bossypants (Kindle Edition),Tina Fey,3.95,828830,38998,"Before Liz Lemon, before ""Weekend Update,"" before ""Sarah Palin,"" Tina Fey was just a young girl with a dream: a recurring stress dream that she was being chased through a local airport by her middle-school gym teacher. She also had a dream that one day she would be a comedian on TV.She has seen both these dreams come true.At last, Tina Fey's story can be told. From her you",null,Humor and Comedy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1481509554l/9418327.jpg,283
Me Talk Pretty One Day (Paperback),David Sedaris,3.99,608260,17145,"David Sedaris' move to Paris from New York inspired these hilarious pieces, including the title essay, about his attempts to learn French from a sadistic teacher who declares that every day spent with you is like having a caesarean section. His family is another inspiration. You Can't Kill the Rooster is a portrait of his brother, who talks incessant hip-hop slang to his b",9780349113913,Humor and Comedy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1431013639l/4137.jpg,272
Yes Please (Hardcover),Amy Poehler,3.83,417226,25179,"In Amy Poehler’s highly anticipated first book, Yes Please, she offers up a big juicy stew of personal stories, funny bits on sex and love and friendship and parenthood and real life advice (some useful, some not so much), like when to be funny and when to be serious. Powered by Amy’s charming and hilarious, biting yet wise voice, Yes Please is a book full of words to live",9780062268341,Humor and Comedy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1402815435l/20910157.jpg,329
Is Everyone Hanging Out Without Me? (And Other Concerns),Mindy Kaling,3.86,410853,22046,"Mindy Kaling has lived many lives: the obedient child of immigrant professionals, a timid chubster afraid of her own bike, a Ben Affleck–impersonating Off-Broadway performer and playwright, and, finally, a comedy writer and actress prone to starting fights with her friends and coworkers with the sentence “Can I just say one last thing about this, and then I swear I’ll shut",9780307886262,Humor and Comedy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1443264638l/10335308._SY475_.jpg,222
"A Dirty Job (Grim Reaper, #1)",Christopher Moore,4.07,102284,6570,"Charlie Asher is a pretty normal guy with a normal life, married to a bright and pretty woman who actually loves him for his normalcy. They're even about to have their first child. Yes, Charlie's doing okay—until people start dropping dead around him, and everywhere he goes a dark presence whispers to him from under the streets. Charlie Asher, it seems, has been recruited ",9780060590277,Humor and Comedy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1331323415l/33456.jpg,387
Comedian Gone Wrong (Paperback),Jimmy Tudeski,4.21,210,38,"For years, Jimmy Tudeski has written some of the most controversial fictional comedies out there, but who is he? We know he's a writer, we know he's worked with some of the biggest comedian's in the UK, we know he's ghost written many books for other people too, but if he's so good at what he does, then why hasn't he become a famous stand-up comedian himself yet?All will b",9798643930785,Humor and Comedy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1588931613l/53348614._SY475_.jpg,452
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch (Mass Market Paperback)",Terry Pratchett,4.25,522083,26674,"‘Armageddon only happens once, you know. They don’t let you go around again until you get it right.’People have been predicting the end of the world almost from its very beginning, so it’s only natural to be sceptical when a new date is set for Judgement Day. But what if, for once, the predictions are right, and the apocalypse really is due to arrive next Saturday, just af",null,Humor and Comedy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1392528568l/12067.jpg,491
"Bloodsucking Fiends (A Love Story, #1)",Christopher Moore,3.94,58641,2487,"There is an alternate cover edition here.Jody never asked to become a vampire. But when she wakes up under an alley dumpster with a badly burned arm, an aching neck, superhuman strength, and a distinctly Nosferatuan thirst, she realizes the decision has been made for her.Making the transition from the nine-to-five grind to an eternity of nocturnal prowlings is going to tak",9780060735418,Humor and Comedy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388586483l/33454.jpg,300
Dress Your Family in Corduroy and Denim (Paperback),David Sedaris,4.11,239772,6446,"David Sedaris plays in the snow with his sisters. He goes on vacation with his family. He gets a job selling drinks. He attends his brother’s wedding. He mops his sister’s floor. He gives directions to a lost traveler. He eats a hamburger. He has his blood sugar tested. It all sounds so normal, doesn’t it? In his newest collection of essays, David Sedaris lifts the corner ",9780965904834,Humor and Comedy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1352983006l/10176.jpg,257
Furiously Happy: A Funny Book About Horrible Things (Hardcover),Jenny  Lawson,3.92,119913,13048,"#1 New York Times BestsellerIn Furiously Happy, a humor memoir tinged with just enough tragedy and pathos to make it worthwhile, Jenny Lawson examines her own experience with severe depression and a host of other conditions, and explains how it has led her to live life to the fullest:""I've often thought that people with severe depression have developed such a well for expe",9781250077004,Humor and Comedy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1523830369l/23848559.jpg,329
