goodreads_book_id,tag_name
1,fantasy
2,fantasy
3,fantasy
5,fantasy
6,fantasy
8,fantasy
10,fantasy
11,sci-fi
13,sci-fi
21,historical
25,literary
29,historical
30,fantasy
33,fantasy
34,fantasy
36,fantasy
50,classics
67,historical
93,classics
105,sci-fi
106,fantasy
112,sci-fi
117,sci-fi
119,fantasy
122,classics
231,literary
249,classics
250,classics
264,classics
275,classics
291,poetry
295,classics
304,classics
320,classics
343,classics
348,sci-fi
350,sci-fi
353,sci-fi
355,sci-fi
357,fantasy
359,sci-fi
360,sci-fi
365,sci-fi
378,fantasy
386,poetry
400,historical
415,sci-fi
424,classics
428,classics
431,classics
432,classics
446,literary
447,literary
449,classics
456,literary
475,historical
621,business
629,classics
647,business
656,classics
662,classics
665,classics
667,classics
668,classics
676,poetry
698,literary
703,historical
706,historical
760,classics
816,sci-fi
822,fantasy
823,fantasy
825,sci-fi
827,sci-fi
830,sci-fi
840,business
865,classics
870,sci-fi
880,historical
890,classics
900,romance
902,classics
903,fantasy
930,romance
960,fantasy
968,fantasy
976,sci-fi
998,business
1005,business
1032,business
1052,business
1067,historical
1078,cultural
1097,business
1103,historical
1110,horror
1171,business
1192,cook
1202,business
1232,fantasy
1241,biographies
1274,romance
1295,romance
1301,business
1303,business
1305,historical
1307,fantasy
1319,art
1362,classics
1371,classics
1375,classics
1381,classics
1420,classics
1426,fantasy
1427,romance
1428,romance
1430,romance
1431,romance
1519,classics
1524,classics
1540,classics
1554,classics
1591,poetry
1617,classics
1618,classics
1622,classics
1624,classics
1625,classics
1627,romance
1633,business
1635,business
1715,poetry
1824,historical
1842,historical
1845,classics
1848,historical
1849,action
1852,classics
1869,business
1875,academic
1885,classics
1897,biographies
1898,biographies
1911,business
1934,classics
1953,classics
1990,classics
2002,fantasy
2049,detective
2050,classics
2052,historical
2054,classics
2068,academic
2094,classics
2095,academic
2122,classics
2137,romance
2142,romance
2152,romance
2156,classics
2159,business
2165,classics
2175,classics
2183,classics
2187,classics
2199,biographies
2203,biographies
2255,fantasy
2265,biographies
2279,biographies
2368,biographies
2371,historical
2372,historical
2373,detective
2430,action
2442,fantasy
2493,classics
2517,historical
2526,sci-fi
2528,classics
2530,classics
2547,poetry
2612,business
2615,business
2623,classics
2657,classics
2666,classics
2677,classics
2696,poetry
2715,historical
2743,biographies
2744,fantasy
2748,literary
2767,historical
2784,art
2794,classics
2839,fantasy
2865,historical
2872,historical
2873,historical
2879,fantasy
2880,fantasy
2915,classics
2932,classics
2956,classics
2978,sci-fi
2998,classics
3008,classics
3028,business
3049,classics
3061,art
3087,classics
3102,classics
3103,classics
3110,historical
3273,historical
3291,romance
3300,historical
3304,fantasy
3368,business
3378,classics
3379,literary
3381,literary
3384,sci-fi
3388,literary
3412,romance
3431,romance
3446,classics
3447,classics
3462,romance
3463,romance
3464,romance
3465,romance
3466,romance
3467,fantasy
3473,romance
3476,historical
3478,romance
3483,literary
3507,romance
3559,historical
3562,classics
3579,romance
3581,classics
3586,classics
3590,classics
3636,classics
3648,literary
3656,literary
3679,literary
3682,fantasy
3685,classics
3686,biographies
3690,classics
3692,classics
3698,classics
3710,literary
3711,literary
3717,literary
3750,classics
3757,classics
3758,classics
3759,classics
3760,classics
3762,classics
3763,classics
3764,classics
3805,literary
3832,detective
3836,classics
3858,cultural
3867,romance
3869,classics
3872,historical
3873,historical
3876,classics
3885,cook
3888,cook
3895,cook
3972,sci-fi
3973,fantasy
3974,horror
3977,sci-fi
3980,classics
3985,historical
4004,fantasy
4005,historical
4006,fantasy
4008,fantasy
4009,literary
4031,horror
4035,detective
4069,classics
4076,business
4099,business
