book_id,isbn,isbn13,original_publication_year,original_title,average_rating,author,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url,small_image_url
1,439023483,9780439023480.0,2008.0,The Hunger Games,4.34,Suzanne Collins,66715,127936,560092,1481305,2706317,https://images.gr-assets.com/books/1447303603m/2767052.jpg,https://images.gr-assets.com/books/1447303603s/2767052.jpg
2,439554934,9780439554930.0,1997.0,Harry Potter and the Philosopher's Stone,4.44,J.K. Rowling,75504,101676,455024,1156318,3011543,https://images.gr-assets.com/books/1474154022m/3.jpg,https://images.gr-assets.com/books/1474154022s/3.jpg
3,316015849,9780316015840.0,2005.0,Twilight,3.57,Stephenie Meyer,456191,436802,793319,875073,1355439,https://images.gr-assets.com/books/1361039443m/41865.jpg,https://images.gr-assets.com/books/1361039443s/41865.jpg
4,61120081,9780061120080.0,1960.0,To Kill a Mockingbird,4.25,Harper Lee,60427,117415,446835,1001952,1714267,https://images.gr-assets.com/books/1361975680m/2657.jpg,https://images.gr-assets.com/books/1361975680s/2657.jpg
5,743273567,9780743273560.0,1925.0,The Great Gatsby,3.89,F. Scott Fitzgerald,86236,197621,606158,936012,947718,https://images.gr-assets.com/books/1490528560m/4671.jpg,https://images.gr-assets.com/books/1490528560s/4671.jpg
6,525478817,9780525478810.0,2012.0,The Fault in Our Stars,4.26,John Green,47994,92723,327550,698471,1311871,https://images.gr-assets.com/books/1360206420m/11870085.jpg,https://images.gr-assets.com/books/1360206420s/11870085.jpg
7,618260307,9780618260300.0,1937.0,The Hobbit or There and Back Again,4.25,J.R.R. Tolkien,46023,76784,288649,665635,1119718,https://images.gr-assets.com/books/1372847500m/5907.jpg,https://images.gr-assets.com/books/1372847500s/5907.jpg
8,316769177,9780316769170.0,1951.0,The Catcher in the Rye,3.79,J.D. Salinger,109383,185520,455042,661516,709176,https://images.gr-assets.com/books/1398034300m/5107.jpg,https://images.gr-assets.com/books/1398034300s/5107.jpg
9,1416524797,9781416524790.0,2000.0,Angels & Demons ,3.85,Dan Brown,77841,145740,458429,716569,680175,https://images.gr-assets.com/books/1303390735m/960.jpg,https://images.gr-assets.com/books/1303390735s/960.jpg
10,679783261,9780679783270.0,1813.0,Pride and Prejudice,4.24,Jane Austen,54700,86485,284852,609755,1155673,https://images.gr-assets.com/books/1320399351m/1885.jpg,https://images.gr-assets.com/books/1320399351s/1885.jpg
11,1594480001,9781594480000.0,2003.0,The Kite Runner ,4.26,Khaled Hosseini,34288,59980,226062,628174,929591,https://images.gr-assets.com/books/1484565687m/77203.jpg,https://images.gr-assets.com/books/1484565687s/77203.jpg
12,62024035,9780062024040.0,2011.0,Divergent,4.24,Veronica Roth,36315,82870,310297,673028,1114304,https://images.gr-assets.com/books/1328559506m/13335037.jpg,https://images.gr-assets.com/books/1328559506s/13335037.jpg
13,451524934,9780451524940.0,1949.0,Nineteen Eighty-Four,4.14,George Orwell,41845,86425,324874,692021,908229,https://images.gr-assets.com/books/1348990566m/5470.jpg,https://images.gr-assets.com/books/1348990566s/5470.jpg
14,452284244,9780452284240.0,1945.0,Animal Farm: A Fairy Story,3.87,George Orwell,66854,135147,433432,698642,648912,https://images.gr-assets.com/books/1424037542m/7613.jpg,https://images.gr-assets.com/books/1424037542s/7613.jpg
