tag_id,isbn
9,439785960
13,439785960
3,439785960
7,439785960
32,439785960
40,439785960
12,439785960
20,439785960
39,439785960
17,439785960
5,439785960
30,439785960
33,439785960
101,439785960
14,439785960
38,439785960
43,439785960
34,439785960
11,439785960
85,439785960
54,439785960
10,439785960
6,439785960
44,439785960
9,439358078
40,439358078
3,439358078
13,439358078
5,439358078
20,439358078
30,439358078
33,439358078
101,439358078
38,439358078
43,439358078
34,439358078
11,439358078
54,439358078
39,439358078
44,439358078
32,439358078
17,439358078
23,439358078
97,439358078
10,439358078
72,439358078
57,439358078
31,439358078
9,439554934
13,439554934
3,439554934
7,439554934
32,439554934
40,439554934
12,439554934
17,439554934
39,439554934
20,439554934
5,439554934
30,439554934
14,439554934
101,439554934
43,439554934
33,439554934
38,439554934
11,439554934
34,439554934
54,439554934
6,439554934
46,439554934
9,043965548X
13,043965548X
3,043965548X
7,043965548X
32,043965548X
40,043965548X
12,043965548X
39,043965548X
20,043965548X
17,043965548X
5,043965548X
30,043965548X
14,043965548X
101,043965548X
38,043965548X
43,043965548X
33,043965548X
11,043965548X
34,043965548X
139,043965548X
54,043965548X
6,043965548X
128,043965548X
46,043965548X
9,439139600
13,439139600
3,439139600
7,439139600
40,439139600
12,439139600
20,439139600
17,439139600
5,439139600
30,439139600
141,439139600
33,439139600
38,439139600
101,439139600
14,439139600
43,439139600
11,439139600
34,439139600
54,439139600
39,439139600
6,439139600
44,439139600
46,439139600
9,439827604
3,439827604
13,439827604
32,439827604
7,439827604
40,439827604
12,439827604
20,439827604
17,439827604
101,439827604
39,439827604
33,439827604
14,439827604
37,439827604
30,439827604
5,439827604
38,439827604
54,439827604
46,439827604
141,439827604
43,439827604
11,439827604
6,439827604
66,439827604
23,439827604
20,345391802
3,345391802
24,345391802
9,345391802
17,345391802
7,345391802
12,345391802
5,345391802
4,345391802
43,345391802
13,345391802
126,345391802
14,345391802
8,345391802
140,345391802
113,345391802
16,345391802
45,345391802
48,345391802
29,345391802
6,345391802
20,345453743
3,345453743
24,345453743
9,345453743
17,345453743
7,345453743
12,345453743
5,345453743
14,345453743
45,345453743
43,345453743
16,345453743
126,345453743
4,345453743
48,345453743
113,345453743
140,345453743
13,345453743
8,345453743
29,345453743
6,345453743
139,345453743
52,345453743
18,076790818X
26,076790818X
45,076790818X
24,076790818X
52,076790818X
14,076790818X
92,076790818X
4,076790818X
3,076790818X
123,076790818X
21,076790818X
68,076790818X
126,076790818X
92,767903862
26,767903862
24,767903862
59,767903862
18,767903862
12,767903862
47,767903862
4,767903862
3,767903862
81,767903862
74,767903862
6,767903862
14,767903862
24,076790382X
26,076790382X
59,076790382X
47,076790382X
92,076790382X
21,076790382X
74,076790382X
18,076790382X
70,076790382X
3,076790382X
4,076790382X
45,076790382X
14,076790382X
41,076790382X
6,076790382X
29,076790382X
12,076790382X
95,076790382X
92,60920084
26,60920084
24,60920084
59,60920084
21,60920084
47,60920084
12,60920084
3,60920084
18,60920084
74,60920084
14,60920084
6,60920084
4,60920084
29,60920084
92,380713802
26,380713802
24,380713802
59,380713802
64,380713802
47,380713802
18,380713802
12,380713802
4,380713802
21,380713802
74,380713802
3,380713802
14,380713802
29,380713802
6,380713802
95,380713802
92,380727501
26,380727501
24,380727501
59,380727501
47,380727501
43,380727501
18,380727501
3,380727501
64,380727501
74,380727501
14,380727501
4,380727501
6,380727501
12,380727501
29,380727501
21,380727501
26,380715430
24,380715430
18,380715430
4,380715430
14,380715430
123,380715430
29,380715430
6,380715430
16,380715430
43,380715430
21,380715430
106,380715430
3,345538374
17,345538374
9,345538374
7,345538374
20,345538374
12,345538374
66,345538374
13,345538374
32,345538374
76,345538374
39,345538374
5,345538374
4,345538374
8,345538374
82,345538374
53,345538374
40,345538374
43,345538374
34,345538374
141,345538374
23,345538374
33,345538374
9,618640150
17,618640150
3,618640150
12,618640150
20,618640150
7,618640150
66,618640150
16,618640150
5,618640150
13,618640150
76,618640150
32,618640150
43,618640150
14,618640150
4,618640150
29,618640150
39,618640150
8,618640150
48,618640150
82,618640150
53,618640150
9,618346252
17,618346252
3,618346252
12,618346252
7,618346252
20,618346252
66,618346252
13,618346252
32,618346252
5,618346252
16,618346252
76,618346252
4,618346252
8,618346252
43,618346252
14,618346252
29,618346252
39,618346252
48,618346252
97,618346252
53,618346252
13,689840926
3,689840926
12,689840926
17,689840926
91,689840926
40,689840926
35,689840926
31,689840926
39,689840926
7,689840926
54,689840926
33,689840926
44,689840926
5,689840926
72,689840926
23,689840926
6,689840926
127,689840926
18,61159174
3,61159174
16,61159174
36,61159174
5,61159174
21,61159174
8,61159174
6,61159174
127,61159174
94,61159174
41,61159174
4,61159174
87,61159174
17,61159174
68,61159174
17,753454947
40,753454947
3,753454947
39,753454947
13,753454947
18,753454947
54,753454947
87,753454947
16,753454947
5,753454947
25,753454947
72,753454947
12,753454947
64,753454947
35,753454947
46,753454947
31,753454947
57,753454947
7,753454947
44,753454947
26,761129588
138,761129588
25,761129588
80,761129588
4,761129588
40,761129588
7,761129588
14,761129588
123,761129588
20,441102670
3,441102670
9,441102670
7,441102670
17,441102670
45,441102670
5,441102670
12,441102670
126,441102670
48,441102670
60,441102670
14,441102670
16,441102670
65,441102670
76,441102670
4,441102670
21,441102670
29,441102670
8,441102670
52,441102670
130,441102670
3,441172695
9,441172695
20,441172695
7,441172695
17,441172695
45,441172695
5,441172695
48,441172695
60,441172695
126,441172695
76,441172695
16,441172695
14,441172695
21,441172695
29,441172695
12,441172695
65,441172695
52,441172695
4,441172695
8,441172695
130,441172695
20,441104029
3,441104029
9,441104029
17,441104029
7,441104029
45,441104029
5,441104029
48,441104029
76,441104029
60,441104029
16,441104029
14,441104029
126,441104029
65,441104029
21,441104029
52,441104029
12,441104029
29,441104029
4,441104029
8,441104029
20,441328008
3,441328008
9,441328008
7,441328008
17,441328008
45,441328008
5,441328008
48,441328008
60,441328008
14,441328008
126,441328008
12,441328008
16,441328008
76,441328008
21,441328008
52,441328008
65,441328008
29,441328008
4,441328008
8,441328008
9,618212906
99,618212906
26,618212906
3,618212906
20,618212906
17,618212906
97,618212906
14,618212906
5,618212906
4,618212906
71,618212906
13,618212906
110,618212906
45,618212906
3,034541005X
18,034541005X
17,034541005X
44,034541005X
13,034541005X
5,034541005X
16,034541005X
31,034541005X
15,034541005X
8,034541005X
4,034541005X
6,034541005X
7,034541005X
71,034541005X
53,034541005X
50,034541005X
36,034541005X
26,034541005X
12,034541005X
98,034541005X
59,034541005X
29,034541005X
35,034541005X
3,802131786
17,802131786
36,802131786
21,802131786
16,802131786
83,802131786
5,802131786
8,802131786
59,802131786
10,802131786
26,802131786
29,802131786
6,802131786
64,802131786
74,802131786
14,802131786
15,802131786
3,802151825
17,802151825
16,802151825
21,802151825
5,802151825
83,802151825
36,802151825
29,802151825
6,802151825
26,802151825
14,802151825
10,802151825
8,802151825
15,802151825
4,802151825
47,802151825
59,802151825
41,802151825
17,141439637
3,141439637
16,141439637
87,141439637
21,141439637
5,141439637
18,141439637
10,141439637
36,141439637
14,141439637
43,141439637
8,141439637
4,141439637
31,141439637
73,141439637
41,141439637
64,141439637
3,375700528
17,375700528
10,375700528
16,375700528
18,375700528
5,375700528
83,375700528
29,375700528
124,375700528
59,375700528
36,375700528
51,375700528
110,375700528
57,375700528
37,375700528
31,375700528
6,375700528
26,375700528
44,375700528
4,375700528
47,375700528
8,375700528
119,375700528
73,375700528
15,375700528
64,375700528
107,806501901
5,806501901
16,806501901
17,806501901
52,806501901
10,806501901
26,806501901
14,806501901
15,806501901
88,806501901
9,806501901
37,806501901
71,806501901
60,806501901
21,806501901
29,806501901
124,806501901
17,753453800
3,753453800
12,753453800
13,753453800
18,753453800
40,753453800
16,753453800
9,753453800
5,753453800
39,753453800
87,753453800
31,753453800
43,753453800
14,753453800
23,753453800
54,753453800
36,753453800
19,753453800
17,037576013X
3,037576013X
87,037576013X
43,037576013X
16,037576013X
18,037576013X
5,037576013X
10,037576013X
14,037576013X
36,037576013X
57,037576013X
31,037576013X
4,037576013X
8,037576013X
60,037576013X
51,037576013X
17,60531045
16,60531045
5,60531045
36,60531045
3,60531045
29,60531045
8,60531045
4,60531045
6,60531045
41,60531045
18,60531045
